fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,1/31/15,2/28/15,3/31/15,4/30/15,5/31/15,6/30/15,7/31/15,8/31/15,9/30/15,10/31/15,11/30/15,12/31/15,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21
8886-2,ACTIVA E,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE LIBRE INVERSION,6.0,P,8886-2A,"Domestic Bond, > 365",1168.5585,1169.539,1169.4502,1171.1882,1172.4196,1178.0426,1185.4426,1189.4581,1184.7272,1184.6938,1182.9313,1180.7512,1187.6159,1192.7212,1196.0844,1201.5353,1207.3287,1213.4992,1217.8301,1226.3145,1232.0544,1228.9442,1222.2405,1235.5256,1240.6135,1246.936,1250.3467,1257.3398,1257.2862,1259.5905,1260.9203,1261.8558,1258.9383,1257.7163,1256.0904,1260.9452,1265.8843,1269.677,1272.438,1273.5784,1276.4584,1280.0375,1282.9752,1284.765,1285.5541,1283.7827,1287.2048,1291.798,1295.0921,1296.1442,1304.0279,1311.3386,1323.0676,1338.0688,1351.0077,1359.9347,1364.3046,1342.4954,1325.655,1343.0255,1345.8274,1336.6173,1327.6502,1364.671,1382.2668,1384.9889,1386.9078,1396.2998,1388.6695,1394.5123,1398.2333,1398.3511,1407.2619
8555-3,ACTIVO AGRESIVO,B,Balanceado Agresivo,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8555-3B,"Balanced, Aggressive",654.5472,678.5552,673.7278,668.0166,675.6633,689.8296,723.8709,699.8258,676.9396,722.8474,747.6845,729.0833,672.24,647.3919,668.7639,664.9795,702.7523,669.9756,693.4894,719.6054,700.0297,681.3822,725.1577,735.117,727.7885,748.126,771.1947,782.8655,801.9767,795.656,796.3134,770.3645,792.6492,806.9939,807.3255,801.9619,830.3734,793.0645,791.25,803.7051,799.3124,800.2801,812.8274,831.6536,819.4976,796.2003,782.0244,759.6691,785.6888,785.3963,807.0558,823.3704,804.5659,815.4412,833.631,827.71,852.2862,867.9493,934.0128,914.034,947.9981,903.5747,798.5552,862.0564,860.4176,908.1299,899.7818,952.3725,940.7366,917.2318,1002.2521,988.5222,1021.5652
8377-1,ACTIVO CONTROLADO,B1,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8377-1B1,"Balanced, Conservative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.3269,2011.8988,2029.8518,2047.0568,2046.4238,2052.0682,2056.7849,2061.9681,2068.173,2080.5847,2087.4623,2088.0113,2073.4239,2074.9208,2076.1554,2095.653,2100.5857,2126.1459,2145.2619,2156.5832,2186.4656,2222.364,2240.4372,2258.6479,2215.1002,2203.6373,2221.0743,2258.201,2208.6601,2125.8215,2199.7398,2234.4329,2264.1291,2252.1129,2301.1664,2270.4257,2274.9305,2327.0967,2321.9634,2360.7839
9043-3,ACTIVO EQUILIBRADO,B,Balanceado Moderado,FM MIXTO,4.0,P,9043-3B,"Balanced, Moderate",3273.2299,3314.6961,3315.5226,3292.6511,3304.4667,3297.6209,3434.8935,3438.4117,3376.3184,3476.8267,3495.7704,3448.4559,3383.1654,3316.6537,3372.9189,3346.7446,3446.3368,3366.7906,3433.9691,3518.6708,3464.1546,3440.3799,3463.0899,3464.0064,3459.2153,3514.7841,3632.0551,3651.9461,3682.5502,3658.4617,3714.8896,3680.2672,3734.3018,3769.8312,3748.9394,3772.0371,3855.4063,3767.2629,3767.3366,3803.2294,3797.2669,3803.7493,3844.5926,3893.9178,3866.7938,3795.1134,3763.5505,3710.6715,3791.3374,3796.3395,3869.9652,3915.0966,3885.9499,3945.6286,4012.2665,4022.127,4089.1184,4073.4054,4184.2681,4159.2932,4271.5935,4156.0208,3844.2902,4040.1198,4066.0125,4207.0839,4181.4045,4319.9889,4269.373,4229.4275,4449.7596,4409.6079,4518.9094
9067-0,ACTIVO MODERADO,B,Balanceado Moderado,FM MIXTO,4.0,P,9067-0B,"Balanced, Moderate",2079.1808,2079.1688,2090.0115,2067.7253,2068.5195,2075.5555,2134.5892,2158.1346,2152.0767,2163.029,2169.5818,2152.0731,2147.4099,2126.9362,2151.6186,2139.3184,2190.5279,2160.1736,2192.8099,2240.4397,2220.6088,2209.7661,2207.7625,2224.2718,2221.9364,2251.1204,2298.1025,2308.5807,2322.162,2313.588,2331.7671,2315.0121,2349.624,2359.9376,2343.4688,2368.9525,2406.3474,2378.738,2381.1363,2395.185,2395.723,2401.1963,2421.2808,2439.4915,2431.7315,2399.4964,2390.5035,2373.7914,2410.515,2414.5843,2451.4114,2480.2192,2472.289,2509.6246,2551.953,2563.3465,2597.5546,2579.3473,2635.7901,2621.3898,2693.5495,2629.7851,2463.9703,2579.0029,2598.3677,2676.7396,2654.5417,2737.1854,2708.4132,2688.083,2808.462,2777.4533,2841.9663
8448-4,ACTIVO POTENCIADO,B,Balanceado Agresivo,FM MIXTO,4.0,P,8448-4B,"Balanced, Aggressive",1462.4615,1487.657,1476.5535,1499.7461,1499.1453,1497.9457,1528.6956,1487.1663,1452.6365,1533.1222,1556.3642,1535.7945,1457.5308,1414.5249,1464.6438,1458.3491,1501.7369,1452.2235,1495.1218,1539.0349,1501.2578,1493.5434,1528.118,1529.0894,1528.0527,1553.5939,1621.5228,1641.7128,1665.5214,1642.9922,1679.773,1650.2645,1691.8824,1711.3902,1702.4133,1705.1568,1755.1258,1694.9081,1692.1396,1714.312,1709.1075,1711.5,1733.7675,1764.6696,1745.4403,1704.0069,1681.8841,1646.7237,1692.0571,1693.2884,1732.5321,1764.3909,1730.9532,1757.8026,1795.6958,1788.7919,1835.0655,1862.962,1990.5396,1948.8835,2021.7283,1938.8763,1733.0749,1859.2239,1854.2805,1950.0363,1934.311,2033.7878,2008.4809,1962.3521,2123.6259,2089.6194,2156.7744
8755-6,AHORRO A PLAZO,A,Fondos de Deuda < 365 Dias Nacional en pesos,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,8755-6A,"Domestic Bond, < 365",2217.7399,2220.802,2225.3166,2227.2593,2233.7364,2240.3376,2244.6219,2246.3085,2250.1787,2247.4341,2249.9666,2254.1377,2263.3134,2271.7058,2281.5938,2289.7467,2296.1065,2302.1333,2308.7317,2316.7286,2321.961,2326.3243,2327.7585,2336.0372,2346.6139,2351.4103,2356.987,2364.4268,2369.2139,2372.5546,2377.5338,2381.5956,2384.0586,2386.2831,2388.7177,2392.893,2399.6529,2403.723,2406.4619,2411.9122,2414.8803,2418.7906,2423.8016,2427.2838,2429.1562,2430.4412,2434.4886,2439.767,2444.7191,2448.6411,2456.475,2463.738,2474.0863,2485.7209,2496.6635,2502.3706,2507.81,2503.5407,2499.3668,2507.2244,2513.6214,2510.9737,2519.5881,2533.6704,2543.1274,2543.5171,2541.4177,2542.8866,2540.7888,2545.4345,2552.1815,2550.5601,2557.8417
8263-5,AHORRO CAPITAL,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8263-5A,"Domestic Bond, > 365",1621.7255,1637.5156,1649.3344,1638.61,1646.648,1655.853,1671.7668,1681.8263,1681.0373,1679.6555,1678.2598,1673.6137,1689.003,1702.4517,1706.9245,1710.074,1721.7906,1727.4754,1734.4612,1748.0646,1758.7887,1750.2332,1732.8411,1758.514,1769.6729,1781.7718,1784.4676,1791.9116,1790.6066,1790.645,1787.5858,1793.1628,1785.4089,1774.613,1777.7151,1787.7298,1793.5996,1801.5414,1804.2094,1803.7425,1814.3243,1821.3375,1827.8444,1832.6334,1833.7353,1826.0241,1829.0489,1832.0973,1843.5381,1844.0481,1857.6459,1871.3567,1890.2102,1906.4292,1925.447,1940.4318,1946.1203,1911.2539,1885.8306,1914.7741,1932.0219,1907.1031,1876.6049,1920.4623,1940.3265,1936.4452,1934.3665,1957.3189,1940.423,1958.0422,1979.4793,1981.3469,2008.1628
9291-6,AHORRO CORTO PLAZO,VIVIENDA,Fondos de Deuda < 365 Dias Nacional en UF,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,9291-6VIVIENDA,"Domestic Bond, < 365",,,,,,,,,,,,,1000.0423,1005.9322,1009.5853,1012.1937,1018.2885,1021.7022,1025.1362,1030.6172,1034.0127,1033.6955,1032.1528,1040.8609,1044.9428,1051.812,1054.8619,1059.4862,1061.6698,1064.246,1064.3617,1068.684,1068.491,1066.2339,1071.3779,1076.8872,1081.2989,1086.9447,1088.8874,1090.1222,1096.5634,1100.4742,1104.4385,1107.5859,1110.4417,1109.353,1112.2744,1114.2943,1119.1968,1121.6035,1126.2005,1132.7902,1139.357,1145.3352,1151.9002,1157.0945,1161.3995,1155.169,1154.8688,1165.1806,1171.6448,1170.9792,1172.351,1180.7426,1190.0661,1186.3268,1186.6339,1195.9309,1194.87,1203.6047,1213.1634,1212.2203,1218.7898
8240-6,AHORRO ESTRATEGICO,A,Fondos de Deuda > 365 Dias Orig. Flex,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8240-6A,"Domestic Bond, > 365",1908.0545,1928.5867,1940.0782,1923.9544,1933.1488,1943.0813,1966.2445,1979.2006,1980.2211,1975.9436,1971.4776,1962.6108,1982.4617,2002.1433,2012.2265,2019.5516,2033.2594,2044.5877,2060.4764,2091.7857,2117.2756,2105.7741,2061.048,2103.6659,2119.3076,2138.237,2144.3585,2157.5934,2154.7984,2154.1382,2150.3981,2155.2504,2145.1944,2133.5917,2134.2079,2149.7634,2161.3243,2173.4867,2179.5798,2181.6631,2195.459,2202.5001,2213.67,2220.7615,2221.5957,2211.9775,2217.641,2225.7541,2242.4857,2247.737,2277.6923,2295.5459,2331.1991,2365.1293,2408.5513,2439.243,2440.3733,2372.9683,2276.5725,2326.9636,2349.9843,2301.8066,2231.7228,2302.548,2326.961,2319.8679,2321.7474,2373.8797,2333.2355,2357.6713,2384.8825,2407.61,2452.4314
9222-3,AHORRO MP,APV,Fondos de Deuda < 365 Dias Nacional en UF,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,9222-3APV,"Domestic Bond, < 365",,,,,,,,,,1040.884,1044.7646,1045.7177,1051.5097,1057.9613,1061.2341,1063.6588,1069.9053,1072.419,1074.058,1079.5353,1082.1119,1081.0487,1079.3057,1087.4751,1090.8965,1098.8897,1101.8749,1105.5036,1106.6186,1107.8156,1106.828,1110.0464,1108.9614,1104.8215,1110.344,1115.08,1118.5586,1123.8958,1124.8483,1124.6204,1131.3663,1134.2099,1136.8476,1139.8073,1142.0314,1139.9144,1141.4196,1142.4042,1146.6229,1148.2125,1151.6404,1157.8129,1164.242,1168.2779,1174.2561,1179.0049,1183.2658,1176.0636,1178.454,1186.1895,1190.8808,1190.0776,1188.9906,1193.5043,1202.1497,1198.3863,1199.8573,1213.1903,1211.5137,1218.945,1229.2561,1227.5628,1233.3632
9539-7,AHORRO PLUS,IT,Fondos de Deuda > 365 Dias Orig. Flex,FM DE LIBRE INVERSION,6.0,P,9539-7IT,"Domestic Bond, > 365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002.4074,1003.347,1004.7931,1007.116,1009.4917,1012.9634,1016.6419,1017.1804,1016.3787,1020.9218,1026.6669,1030.9986,1035.088,1038.8062,1042.5291,1046.13,1052.3565,1061.7177,1065.8997,1068.8287,1068.8287,1068.8287,1068.8287,1068.8287,1068.8287,1068.8287,1068.8287,1072.885,1077.8416,1077.5628,1079.1196,1077.9135,1080.5353,1082.2024,1082.2024,1083.4659
8135-3,ALIANZA,B,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8135-3B,"Domestic Bond, > 365",2533.2729,2533.9863,2532.3453,2546.5103,2546.0467,2558.5453,2563.4835,2557.3771,2553.7864,2522.7354,2524.192,2516.165,2526.3456,2544.4594,2587.7822,2608.8132,2615.3279,2626.3357,2638.3155,2659.8884,2671.7525,2679.3423,2661.1739,2693.5424,2716.0926,2726.2604,2738.1552,2760.4077,2765.5801,2776.4689,2789.5425,2790.7814,2791.7991,2793.724,2796.2138,2804.6986,2823.4412,2830.3917,2839.3159,2851.8075,2854.9159,2860.4479,2867.8803,2876.8572,2875.846,2874.0722,2887.7758,2904.0401,2914.3911,2925.422,2948.4735,2963.4085,2992.4704,3040.6094,3080.6557,3098.7899,3106.1871,3071.2295,3032.2552,3055.512,3059.6335,3037.9481,3010.7894,2988.2698,3016.3809,3022.8909,3057.0799,3072.4175,3065.2099,3080.3643,3094.7737,3103.6115,3134.4427
8859-5,ALIANZA PACIFICO,A,Accionario Países MILA,FM DE LIBRE INVERSION,6.0,P,8859-5A,International Equity,760.3564,769.9677,746.6483,758.4458,742.5636,747.2175,753.4306,720.1173,714.9709,744.456,717.9316,704.6918,686.166,685.4911,727.6185,734.3759,723.5239,715.2269,710.5199,729.4284,692.7234,707.5556,662.1074,662.8137,650.2499,655.686,713.5879,713.1797,725.9562,742.3998,762.2617,758.0936,773.2617,754.6944,746.2954,734.9353,776.5214,728.3776,734.9259,762.7384,722.4948,754.3197,788.4403,797.541,782.3865,712.0566,675.2294,699.5666,728.9332,717.3505,734.3981,753.1699,731.4486,731.0663,723.2889,719.2422,749.3019,771.1789,812.3009,795.8113,843.3166,782.3927,581.7843,600.2827,609.4252,640.0166,605.1735,615.5208,606.618,589.7097,701.9399,699.9315,694.8367
8979-6,ANDINO RETORNO TOTAL,S,Accionario Países MILA,FM DE LIBRE INVERSION,6.0,P,8979-6S,International Equity,,,,,,,,,,,,992.5832,966.0997,972.5927,1033.292,1030.293,1030.6168,996.1871,1007.5308,1058.9864,998.4838,1031.4057,950.8402,958.8136,953.3038,978.3528,1032.9539,1051.2508,1064.8785,1037.5778,1095.3045,1096.9891,1165.6216,1194.6686,1172.2942,1237.9216,1276.8831,1210.1476,1201.3919,1234.8089,1186.1337,1162.2297,1182.2319,1175.9176,1155.0871,1141.987,1105.9669,1074.6405,1123.7547,1127.3742,1124.2558,1112.4357,1116.9421,1123.9839,1146.8706,1133.4191,1152.3497,1180.6303,1204.8005,1203.3441,1204.1161,1177.3348,1116.2503,1083.1997,1114.0703,1124.3179,1138.2131,1124.8032,1105.5653,1085.9118,1088.7072,1104.9877,1079.963
8131-0,ASIA,A,Accionario Asia Pacifico,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8131-0A,International Equity,841.198,863.6219,872.0947,874.5565,881.4622,883.8097,907.057,861.3141,810.8737,875.7302,897.8402,891.436,821.3835,771.1228,796.5687,789.7036,833.5004,768.9766,809.0248,846.7056,835.8398,830.0091,858.5334,854.1681,861.7264,881.788,906.4938,913.5281,941.2537,951.7148,964.1557,933.3258,956.0523,995.2444,1021.1994,987.7742,1011.5442,969.6469,956.8315,979.6106,1000.7758,1007.9755,995.6402,1042.9812,1029.2833,983.5754,957.0757,918.7007,931.0663,936.8579,977.5542,985.9073,975.9301,972.5812,1000.1318,988.7569,1038.4426,1086.7061,1211.7013,1138.899,1176.1203,0.8424,0.7389,0.7992,0.7967,0.876,0.9589,1.0056,0.9788,1.0116,1.0786,1.1581,1.2249
8820-K,ASIA EMERGENTE,A,Accionario Asia Emergente,FM DE LIBRE INVERSION,6.0,D,8820-KA,Emerging Equity,1310.5068,1301.9848,1324.6809,1393.7505,1375.9827,1359.7979,1339.7278,1257.3962,1232.2714,1305.5436,1311.0237,1288.7161,1179.847,1139.1561,1195.8044,1167.4293,1208.001,1177.6498,1212.3367,1266.9043,1244.4668,1189.9561,1187.297,1148.7804,1172.3544,1209.1986,1271.2148,1294.5999,1349.5229,1344.9463,1379.9944,1349.6107,1362.9216,1414.8686,1440.9628,1394.0163,1463.0982,1362.9598,1363.9959,1363.3205,1409.487,1378.1977,1344.2913,1394.394,1328.3166,1229.3122,1241.5197,1231.2542,1255.6535,1275.1075,1346.0081,1370.0508,1299.9915,1321.6513,1336.6216,1319.9524,1349.3931,1415.4147,1556.2417,1510.9466,1534.5425,1523.0049,1399.9203,1494.1158,1443.7161,1588.9542,1601.8833,1717.6155,1709.6083,1715.8766,1823.2467,1799.7261,1951.6519
