fundRUN,fundName,fundSeries,aafmCategory,svsCategory,svsCategoryId,currency,fundRUNSeries,userCategory,2015_return,2015_stdev,2016_return,2016_stdev,2017_return,2017_stdev,2018_return,2018_stdev,2019_return,2019_stdev,2020_return,2020_stdev,avg_ann_return,ann_stdev
9043-3,ACTIVO EQUILIBRADO,B,Balanceado Moderado,FM MIXTO,4.0,P,9043-3B,"Balanced, Moderate",5.3533056141275015,6.119942702791097,2.389507766897836,6.417200969068125,9.043143397290132,4.264036467398332,-3.754073857274143,4.142125825277325,9.705171584043137,4.050003260719293,3.230981599723859,13.060755828179227,4.228602887145416,4.949321619094273
9067-0,ACTIVO MODERADO,B,Balanceado Moderado,FM MIXTO,4.0,P,9067-0B,"Balanced, Moderate",3.5058182530350424,3.599469828550425,3.5792840481921884,4.600568839168107,6.6165755239438795,3.137115968221048,-1.3529218599110049,2.526271078760393,8.748122289220351,3.464570662212972,3.1149900902136762,11.434102219802865,3.98763450770252,3.4421471168400504
8448-4,ACTIVO POTENCIADO,B,Balanceado Agresivo,FM MIXTO,4.0,P,8448-4B,"Balanced, Aggressive",5.014354224025741,8.145691020224351,4.909577210992744,9.017835098346612,11.590182720792285,6.208363607112476,-6.176315110859864,5.7822012906747355,15.17835302366568,8.532224630646434,3.3580723977598703,19.31985063155019,5.427261018484564,7.377561982993663
8755-6,AHORRO A PLAZO,A,Fondos de Deuda < 365 Dias Nacional en pesos,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,8755-6A,"Domestic Bond, < 365",1.6412113972427589,0.39843965775808254,3.2131564280934333,0.3586758821209179,1.972165084337063,0.23159064816334804,1.671662597536483,0.19342744294772352,2.5567477261498217,0.759046095311056,1.4695411170512873,0.7830738529278961,2.085579648107272,0.6715006127046956
8263-5,AHORRO CAPITAL,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en UF < 3 años",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8263-5A,"Domestic Bond, > 365",3.1995673743799413,1.868824075126992,4.115504827404104,2.295039056509416,1.0203524052382784,1.3862583314810548,2.1463932083838566,0.9372201098715036,3.864091553084803,3.552026538693356,2.553024890659894,4.153575047723858,2.811063241094014,1.1555267754481509
9291-6,AHORRO CORTO PLAZO,VIVIENDA,Fondos de Deuda < 365 Dias Nacional en UF,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,9291-6VIVIENDA,"Domestic Bond, < 365",,,4.081687344625307,0.9795989306099918,3.0570477159132414,0.9089190955529476,3.0514596842741604,0.6559493100365904,4.108642912488669,1.3142882049702167,3.4631229533046204,1.5421949193483815,2.9508072342770753,0.5229332526480321
8240-6,AHORRO ESTRATEGICO,A,Fondos de Deuda > 365 Dias Orig. Flex,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8240-6A,"Domestic Bond, > 365",2.859263191905681,2.223254514880266,6.113823031234333,3.847609210808621,1.4370636900466804,1.6298137688439973,2.9810334339922973,1.0196155843394128,3.767154457216826,6.894920081502062,2.4521738294166484,6.52346137032813,3.258321641831907,1.5884066573702522
9222-3,AHORRO MP,APV,Fondos de Deuda < 365 Dias Nacional en UF,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,9222-3APV,"Domestic Bond, < 365",,,3.4203583666417847,1.0036383409138343,2.2168464194357362,1.0812918499540047,2.131814998338033,0.7519818255797159,3.450707290077659,1.1847321183058364,3.080241112292681,1.6664018532260325,2.376373812676258,0.6433006050432243
9539-7,AHORRO PLUS,IT,Fondos de Deuda > 365 Dias Orig. Flex,FM DE LIBRE INVERSION,6.0,P,9539-7IT,"Domestic Bond, > 365",,,,,,,2.6430182884299214,0.6735638500445826,3.66926783411734,0.931812177430475,1.251248212178413,0.6324748425287409,1.2503745792307175,1.213605576182973
8135-3,ALIANZA,B,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8135-3B,"Domestic Bond, > 365",-0.675327952231275,1.630472182416361,6.618128572749504,2.0877613424729127,3.2622599096952865,0.8267828679209221,2.854633558510078,0.6884916398277562,4.842208720717012,3.1171334423877304,1.437361697079087,2.382849198002327,3.0302210034715227,2.5497133024513854
8859-5,ALIANZA PACIFICO,A,Accionario Países MILA,FM DE LIBRE INVERSION,6.0,P,8859-5A,International Equity,-7.32085637735147,8.975607159644985,-3.403301824922833,12.00448833604391,13.023516035911719,10.564398760527412,-9.91019693726406,16.939380596589785,9.174791325185883,9.50876077472351,-17.002523133067694,36.9547891838187,-3.135940155053585,11.545900150863948
8979-6,ANDINO RETORNO TOTAL,S,Accionario Países MILA,FM DE LIBRE INVERSION,6.0,P,8979-6S,International Equity,,,-0.7541768204668786,14.829216153304289,29.855938893771317,10.66691370072216,-15.838771771668059,8.128947459448247,7.082453136792233,4.38235104888445,-8.232461969406446,8.099639693177195,1.0684453437858066,17.545670902240616
8131-0,ASIA,A,Accionario Asia Pacifico,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8131-0A,International Equity,5.9721967955225885,13.075483893795855,3.991387701359961,15.513723387358983,14.627357360758575,8.38594810431467,-9.178392797862923,10.453608070971752,22.322008647504465,15.659429751313137,-99.90153218169944,110.32701244425023,-66.62579348544065,45.13151198697309
8820-K,ASIA EMERGENTE,A,Accionario Asia Emergente,FM DE LIBRE INVERSION,6.0,D,8820-KA,Emerging Equity,-1.6627689379406507,11.793802008397012,-2.6331041228226937,12.104105842470815,18.907414003820012,9.166478362116065,-15.846099735479125,12.88663179480124,20.331492724704713,14.28685826968554,17.280955072928904,18.653585480683557,5.156602702299007,14.897850553481002
8438-7,ASIA EQUITY,A,Accionario Asia Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8438-7A,Emerging Equity,-4.399001569072181,9.188034470875271,0.35067001481794424,13.234002343224402,19.29174326576788,9.58314921517735,-13.55555724257551,12.056296364609251,21.54241432901509,14.359198056377268,14.154837465120895,19.68171555985426,5.420577574627949,14.190790570341182
8517-0,ASIATICO ACCIONARIO,B,Accionario Asia Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8517-0B,Emerging Equity,-1.9960378503479426,12.350021209502335,6.9023257556773965,13.037507128751455,21.893466705442364,9.923242424768128,-9.933407648947956,12.7302128867269,22.87282319499788,14.454773340625767,23.42787423094923,18.718147494447546,9.717020608635728,14.398899186741351
8193-0,BALANCEADO CONSERVAD,A,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8193-0A,"Balanced, Conservative",3.371487075257251,3.1590978277140858,1.4389692548144373,3.5160253367364382,4.594071505416952,4.884056405340587,-0.5846579337385305,2.3794126770690713,-2.69193316587808,8.328007616927756,-6.434881343124799,10.493671416958987,-0.12162185664045255,4.087135306844923
8302-K,BALANCEADO MODERADO,A,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8302-KA,"Balanced, Moderate",3.4776013511188975,4.324115109834441,1.4909383582369706,4.8417590396381645,8.839066701082965,3.865456675180197,-4.840157400469646,3.6059990120315675,5.394397086318792,3.8688710989447657,-4.295348382860631,14.260517897147992,1.5571377979236356,5.413562729026106
8043-8,BANCHILE-ACCIONES,B,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8043-8B,Domestic Equity,-6.828323826925398,9.244173935284525,7.654839767538868,9.817035613657756,31.393701419274112,24.124124637163955,-13.647883554997541,10.008028937526177,-17.102823500013862,15.628446377451018,-5.737771391879898,32.550455829814126,-1.9365713156524023,17.8854356535459
8744-0,BANCOESTADO BNP PARIBAS ACCIONES DESARROLLADAS,APV,Accionario Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8744-0APV,International Equity,12.432100527949142,12.997316088447056,4.513164748305187,13.506038017518415,12.571523380514193,9.48617060982195,-4.166770850709744,14.209824471448949,29.591145098456415,14.646392769700132,-4.884144936012003,20.852639916353255,7.722321796357168,12.901195223871431
8807-2,BANCOESTADO BNP PARIBAS MAS RENTA BICENTENARIO,A,"Fondos de Deuda > 365 Dias Nacional, Inversión en Pesos",FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8807-2A,"Domestic Bond, > 365",1.8996801451752976,0.7324506600770088,4.361269519041033,1.3428208905328678,2.3992886658180446,0.8704139155031673,2.4758399353314697,0.6222273747334744,4.406368429851293,2.3539462778250937,3.539076232194671,3.241324912898902,3.175594371409307,1.074512268052782
8753-K,BANCOESTADO BNP PARIBAS RENTA EMERGENTE,APV,"Fondos de Deuda > 365 Dias Internacional, Mercados Emergentes",FM DE LIBRE INVERSION,6.0,P,8753-KAPV,"International Bond, > 365",5.727069926218786,5.357314184171842,-0.7249994900045964,6.6969555913900125,4.21013228146454,7.011322552372404,2.5775529705149403,7.416836645907492,15.723341806173718,9.114656448550186,1.369146481282013,8.601126987272071,4.685336993871769,5.792431570127256
8844-7,BANCOESTADO PERFIL DINAMICO A,APV,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8844-7APV,"Balanced, Aggressive",3.502232763065871,7.255849923575494,4.161184414110686,8.789577166489966,14.754391562052295,6.6989772313627265,-5.214949795789748,6.081772879337623,13.420595613972331,7.090114998549513,-2.6272945347449617,16.82771040795421,4.403644203310031,8.134532508561016
8846-3,BANCOESTADO PERFIL MODERADO E,APV,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8846-3APV,"Balanced, Conservative",3.1854680158069693,1.8527769916438959,4.544900177180966,2.2047545521818463,3.5537645161109577,2.013697777747012,2.6511476234007736,1.0073097436965224,6.182127886477029,5.092546385874512,4.355154556908469,6.40005162284435,4.072519892730342,1.251359661063053
8845-5,BANCOESTADO PERFIL TRADICIONAL C,APV,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8845-5APV,"Balanced, Moderate",2.4845147800827583,3.916738413908485,6.383817399780201,4.514508073052115,8.84271883166452,4.092261305108794,-1.0179772578819413,2.775450535375502,8.152923704297432,3.452382745131725,0.9055366157782574,11.312263535397529,4.2254545145392175,4.072406396351699
8434-4,BCI AMERICA LATINA,ALPAT,Accionario America Latina,FM MIXTO,4.0,P,8434-4ALPAT,International Equity,-9.988962754275466,10.898487180493008,9.180917190537574,17.95099716584935,2.128962288983516,8.55095954864628,-8.349626294628255,21.459734004439284,9.584371781399014,11.98582253725358,-20.799569543390806,44.38683073778914,-3.683586020278906,12.060897757371166
8514-6,BCI ASIA,ALPAT,Accionario Asia Emergente,FM MIXTO,4.0,P,8514-6ALPAT,Emerging Equity,-0.0405279047511975,9.113431786374568,0.6719845269719471,13.35922685038481,20.917821141275073,9.691394799475448,-12.863077294361759,13.296141331374244,24.44678106388045,14.68705989433625,21.993153010762256,19.08013826123897,8.25734532105178,15.351412334233794
8970-2,BCI BONOS LATINOAMERICANOS,UNICA,Fondos de Deuda > 365 Dias Orig. Flex,FM DE INV.EN INST.DE DEUDA DE MEDIANO Y LARGO PLAZO,3.0,P,8970-2UNICA,"Domestic Bond, > 365",1.7639624540342735,2.4909753580262946,7.392630058839256,3.8116959821923446,4.519540716466697,1.157369494283936,-2.365521299907525,2.7391367470491117,5.32710420460103,1.1557247700510174,0.2545613417491488,0.10336355237288473,2.7627172913966103,3.5963634317032986
8107-8,BCI COMPETITIVO,APV,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1.0,P,8107-8APV,"Domestic Bond, < 365",2.855735624229361,0.11089403317002208,3.4141872479943824,0.16576299295138602,2.429746596601623,0.1063504953586763,2.1519218716473443,0.023221193473924526,2.1095381818899694,0.11417790524354933,0.5905325656278437,0.2503652437002465,2.2548971452476474,0.9526061738868641
8037-3,BCI DEPOSITO EFECTIVO,ALPAT,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1.0,P,8037-3ALPAT,"Domestic Bond, < 365",0.12720437239124305,0.13286063383909966,0.12460625259198554,0.13014698621181864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04195083350289064,0.06502241469635997
8257-0,BCI DOLAR CASH,ALPAT,"Fondos de Deuda < 90 Dias Internacional, Dolar",FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1.0,D,8257-0ALPAT,"International Bond, < 365",0.14647343148475045,0.006856775441694203,0.27165277548155675,0.008215012177641362,0.48947708173348037,0.0817534361207827,1.3830590959487354,0.10689632679959135,1.7953191292050308,0.028366988805862872,0.4631454473787988,0.16172969971945403,0.7563435557987219,0.6687707782494652
8625-8,BCI EMERGENTE GLOBAL,ALTOP,Accionario Emergente,FM MIXTO,4.0,P,8625-8ALTOP,Emerging Equity,-3.4990737224564916,8.60675684851894,4.069165821295595,11.167452890616083,17.746744276425417,7.945530423697475,-12.887103518177579,9.383178212041098,21.489375683596723,13.279725540125192,13.098020147322554,22.402843255312288,5.961078493259908,13.238446267412197
8712-2,BCI ESTADOS UNIDOS,ALTOP,Accionario EEUU,FM MIXTO,4.0,P,8712-2ALTOP,International Equity,13.765912943059533,13.417882192496645,7.6226513511857386,14.94170828350895,10.650726365828778,9.743959364685264,0.17455218991171417,17.62585089157323,33.616161319541014,16.90619157135818,1.3434433611077656,24.314617040996776,10.6743622758116,12.172751645363364
8513-8,BCI EUROPA,ALPAT,Accionario Europa Desarrollado,FM MIXTO,4.0,P,8513-8ALPAT,International Equity,12.35107103925699,16.73003392941065,-4.601531607584731,20.030667259192413,15.615535708682838,14.21127088223843,-14.038959051037192,13.267779532725143,25.68782832137395,14.999668306173364,-3.4576533109057395,24.711352089304317,4.369737797696005,14.970061331087553
8608-8,BCI EXPRESS,A,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1.0,P,8608-8A,"Domestic Bond, < 365",,,,,,,2.555640172431106,0.026985830042773926,2.5647550140744713,0.13100930816419315,0.8044833255524964,0.28562268783949296,0.9809822549563973,1.0136723500980664
8588-K,BCI FRONTERA,ALPAT,Fondos de Deuda < 365 Dias Internacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 365 DIAS,2.0,P,8588-KALPAT,"International Bond, < 365",0.0,0.0,0.0,0.0,0.6187041843935592,3.8731085160555914,0.0,0.0,0.0,0.0,0.0,0.0,0.10285253500665892,0.25258492558150925
8813-7,BCI GESTION FLEXIBLE,ALTOP,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8813-7ALTOP,"Balanced, Aggressive",-10.042217465434645,4.635510942123533,2.9637612272595426,4.93159943281624,14.172012426065827,4.634571268605539,-10.4734983831552,8.866284455406435,5.077697779470514,11.704916731770904,4.024662703381088,16.09878371462075,0.5727238905360643,9.557126795514932
8710-6,BCI GLOBAL TITAN,ALTOP,Accionario Desarrollado,FM MIXTO,4.0,P,8710-6ALTOP,International Equity,13.20143586102509,12.951829701513063,5.030648583200259,12.39962806225827,9.89319923965799,9.944875798561378,-1.4270786566889737,16.63912330771047,34.90862396943983,16.83975114638453,3.45624442031891,23.823946062585772,10.26782495831704,12.8415031142863
8036-5,BCI RENDIMIENTO,APV,Fondos de Deuda < 90 Dias Nacional,FM DE INV.EN INST.DE DEUDA DE C/P CON DURACION <= 90 DIAS,1.0,P,8036-5APV,"Domestic Bond, < 365",2.6588664658212524,0.0655703847851262,2.8654562668165573,0.03091911854370893,2.0886906764240987,0.07111003477844735,1.899311260048453,0.023060394645987598,1.9131846185728163,0.12405263797891634,0.4433489865926621,0.1747945604231564,1.9751634732267709,0.8519338891350144
8787-4,BCI TOP PICKS,ALTOP,Inversionistas Calificados Accionario Nacional,FM DIRIGIDO A INVERSIONISTAS CALIFICADOS,8.0,P,8787-4ALTOP,"Domestic Bond, < 365",-8.624574422406639,10.83032149782444,12.086269611086053,10.876225350058919,28.02600547922438,22.965601486063854,-12.031407948728756,9.612694913302159,-16.968357837166725,13.658963386749026,-9.238783724291032,31.88598734631023,-2.3080901916228025,17.414692588781914
8178-7,BICE ACCIONES ASIA,D,Accionario Asia Emergente,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8178-7D,Emerging Equity,-0.9365605446389313,8.795889625808275,0.8973519586997769,12.388848708572906,20.568935990694403,9.27115356044207,-15.342791069036155,12.385128446125677,23.34945100697141,14.19903364265442,16.73541832015566,19.157603805411988,6.620013952306381,15.125121106627503
8725-4,BICE ACCIONES BRASIL,D,Accionario Brasil,FM DE LIBRE INVERSION,6.0,P,8725-4D,International Equity,-36.79588984410419,22.86898890359012,47.83610106197877,27.093824456027214,5.118690106691837,14.451330576018728,-8.09044561457145,29.57833610901148,8.552249524784417,15.507823727137582,-28.003459666431063,49.64284028364364,-5.647630114113822,30.231197732465176
8114-0,BICE ACCIONES EUROPA,D,Accionario Europa Desarrollado,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8114-0D,International Equity,8.664774731016056,15.392247486033419,-8.430769781721537,17.671243598142286,14.472756911458728,12.743580529656775,-16.330153303437132,13.031853170584428,28.986354895777254,15.14127807966382,0.10210490831050745,23.22877665226666,3.518047923622092,16.35107538965189
9223-1,BICE ACCIONES INDIA,D,Accionario Pais,FM DE LIBRE INVERSION,6.0,P,9223-1D,International Equity,,,,,18.110058720347276,14.493570981522359,-6.484536729188905,20.48033758274947,23.135985243122413,20.65283195935701,-2.9510108656690903,33.398722624040595,4.734811033990138,14.843952774800664
9007-7,BICE ACCIONES JAPON,D,Accionario Pais,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,9007-7D,International Equity,1.1712399999999956,16.913326658228588,1.4179250810594013,18.148726956096155,20.6791426901191,6.332494802017075,-20.369385692446496,16.785562100664357,9.72292962621819,14.209088047424403,16.331645171548303,20.835202435021255,3.907418885577929,14.611376582571275
8801-3,BICE ACCIONES MEXICO,K,Accionario Pais,FM DE LIBRE INVERSION,6.0,P,8801-3K,International Equity,,,,,11.706229046734062,20.464264078101532,-8.349661807013153,28.61983349447262,21.70167588935097,15.243754253444294,-13.006929052257455,37.6425459732565,1.3519511931159967,16.43763007876018
8937-0,BICE ACCIONES PERU,K,Accionario Pais,FM DE LIBRE INVERSION,6.0,P,8937-0K,International Equity,,,,,13.425135233710893,11.977557348597909,-4.411310904692289,9.958340324719044,14.550793937082073,13.784011680805538,-9.759654863802925,28.01840321008393,1.9183640136544167,12.36966900077988
8819-6,BICE CHILE ACTIVO,D,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8819-6D,Domestic Equity,0.0,0.0,-1.9193800000000039,7.635760607503372,27.82615018894341,21.41012510488319,-16.017415570169224,10.108971067503743,-19.03714072619036,13.235238703958743,-6.188196509526589,31.01882295844708,-3.6564647799783745,16.709542371956005
8553-7,BICE CHILE MID CAP,K,Accionario Nacional Otros,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8553-7K,Domestic Equity,,,,,46.075292115451894,31.63437183182624,-11.76144752370224,13.285082602883804,-29.812822137163863,18.190507084092115,-19.003736557506524,26.063830153527306,-5.0504340291215755,33.95402960483747
8142-6,BICE CHILE SELECTIVO,D,Accionario Nacional Large CAP,FM DE INVERSION EN INSTRUMENTOS DE CAPITALIZACION,5.0,P,8142-6D,Domestic Equity,-8.550459205132555,9.110633263692531,5.881848010409008,10.079693395187292,26.273478939032024,20.76239717080268,-16.31355623479941,10.090684050629473,-18.418460418767857,12.722247239321197,-11.074847313856594,32.27163987662495,-4.845104605118533,16.993360207620274
8935-4,BICE COLOMBIA,K,Accionario Pais,FM DE LIBRE INVERSION,6.0,P,8935-4K,International Equity,,,,,6.294441652507565,14.963301713714424,-8.893990772703253,19.40618327261672,28.08477338702584,14.073958929361677,-19.616081647768326,48.1351931603545,-0.048946545343520054,20.68539351187643
8749-1,BICE COMMODITIES,D,Accionario Sectorial,FM DE LIBRE INVERSION,6.0,P,8749-1D,Domestic Equity,-18.58406114527775,9.095225315350893,10.313613198340565,12.097442596042509,-0.8507715800078475,6.30483914368609,-16.84408743356931,8.817101092602767,-2.639835403323376,8.090837319312898,0.14050721923200005,21.83643944166897,-5.285017358454203,11.028456560403415
8475-1,BICE EMERGENTE,D,Accionario Emergente,FM DE LIBRE INVERSION,6.0,P,8475-1D,Emerging Equity,-4.812153919718498,8.388219580394885,2.421558489183373,9.842992239051522,14.966047584094833,6.951019589239656,-14.528758940891128,8.318144202691645,19.690195968684332,12.76183462860923,5.06337357176454,24.30830552834614,3.152257047102003,12.576070608840825
8687-8,BICE EST AGRESIVA,D,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8687-8D,"Balanced, Moderate",5.382602490807753,8.402829646351776,2.8638691016652285,5.206551610207192,10.91809248386857,4.470072524691358,-6.679049979676044,4.932858726673607,9.48764158563642,4.645053044490814,-0.8308688381515439,16.87287411612929,3.3457182681699837,6.590825618081955
8032-2,BICE EST BALANCEADA,D,Balanceado Moderado,FM DE LIBRE INVERSION,6.0,P,8032-2D,"Balanced, Moderate",5.3048602323020555,5.785755736423828,3.5449213554595405,4.00305601330138,9.916314933852345,3.90167978943133,-4.410676471023645,4.05770302125796,9.998930498665803,3.447924681272563,0.327956094691606,14.275366358933047,3.9863973893308424,5.604382233090838
8295-3,BICE EST CONSERV,D,Balanceado Conservador,FM DE LIBRE INVERSION,6.0,P,8295-3D,"Balanced, Conservative",4.563905479048724,3.145040342444642,3.7300218914491534,2.976035047840272,6.037395715661353,2.1689909714722337,-1.804159043214626,2.2920974676730195,6.533048494563687,3.1885048540774292,1.8497792407526026,10.19642096533124,3.446025623112381,3.0879943844000266
8785-8,BICE EST MAS AGRESIV,D,Balanceado Agresivo,FM DE LIBRE INVERSION,6.0,P,8785-8D,"Balanced, Aggressive",5.909921042059141,10.097842708554959,2.4412979465725515,6.564762874290399,13.38818593584794,6.052604044761941,-10.374675671931733,7.259891802586059,13.365852574953951,7.996564594284007,-0.031938881851545364,19.590328814198756,3.782859363914892,8.997122446568254
